id,X_URI,instanceID,X_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
1,uuid:ae0811bb-4ef1-4c21-959e-dc0dbe84233f,uuid:61badcc8-716e-414f-bad5-4f2b499ea9b2,uuid:61badcc8-716e-414f-bad5-4f2b499ea9b2,1,st,,1,1,2.0000000000,1,
2,uuid:e884207e-a545-4382-85a1-1791e5b3db55,uuid:61badcc8-716e-414f-bad5-4f2b499ea9b2,uuid:61badcc8-716e-414f-bad5-4f2b499ea9b2,2,nd,,2,1,3.0000000000,1,
7,uuid:1191f461-3184-42a0-a92b-00565fad0ba5,uuid:c3cfeebc-1d66-45cc-856e-6350f98ca9dd,uuid:c3cfeebc-1d66-45cc-856e-6350f98ca9dd,1,st,,2,0,,,
