id,X_URI,instanceID,X_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
1,uuid:8fd105f4-1796-45a2-b282-07a5a14eeb54,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,1,st,,1,1,10.0000000000,1,
2,uuid:4c0612be-77c3-4c5c-9b2c-20b9e92397c2,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,2,nd,,1,1,10.0000000000,1,
7,uuid:a5bd7b87-336d-4099-b10f-419db41cdd28,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,1,st,,1,0,,,
10,uuid:1a4cac49-d7a2-4dcc-a06e-d51a2f1fcb1a,uuid:dd704b19-95a3-4db6-9263-184cdb1ed65c,uuid:dd704b19-95a3-4db6-9263-184cdb1ed65c,1,st,,1,1,3.0000000000,1,
11,uuid:06f44def-44b8-4f82-a416-ee55c33aaa6a,uuid:dd704b19-95a3-4db6-9263-184cdb1ed65c,uuid:dd704b19-95a3-4db6-9263-184cdb1ed65c,2,nd,,2,1,2.5000000000,1,
