"id","_URI","version","submission_date","date_marked_as_complete","starttime","endtime","deviceid","subscriberid","simid","devicephonenum","starttime_str","endtime_str","original_dev","uuid_ssname","form_id","username","f3_region","f3_district","f3_eacode","f3_eacode_lb","f3_settlement","f3_settlement_lb","n1","n2","consent","vdc_00_note","vdc_01_n2","vdc_01_01","vdc_01_02","vdc_01_03","vdc_01_04","vdc_01_05","vdc_01_05_other","vdc_01_06","vdc_01_06_other","vdc_01_07","vdc_01_07_other","vdc_01_08","vdc_01_09","vdc_01_10","vdc_01_11","vdc_01_12","vdc_01_13","vdc_01_14","vdc_01_14_other","vdc_02_n1","vdc_02_n2","vdc_02_01","vdc_02_02_other","vdc_02_02","vdc_02_03","vdc_02_04","vdc_02_05","vdc_02_06","vdc_02_06_other","vdc_02_07","vdc_02_07_equiv","vdc_02_07_equiv_n","vdc_02_08","vdc_02_08_n","vdc_02_08_c","vdc_02_09","vdc_02_10","vdc_02_10_1","vdc_02_10_2","vdc_02_11","vdc_02_12","vdc_02_13","vdc_02_14","vdc_02_14_other","vdc_02_15n","vdc_02_15_a","vdc_02_15_b","vdc_02_15_c","vdc_02_15_d","vdc_02_15_e","vdc_02_15_f","vdc_02_15_g","vdc_02_15_h","vdc_02_16","vdc_02_17_n","vdc_02_17_1","vdc_02_17_2","vdc_02_18","vdc_02_18_other","vdc_03_n1","vdc_03_n2","vdc_03_01","vdc_03_02_1","vdc_03_02_1_other","vdc_03_03_1","vdc_03_02_2","vdc_03_02_2_other","vdc_03_03_2","vdc_03_02_3","vdc_03_02_3_other","vdc_03_03_3","vdc_03_03_n","vdc_03_04_1","vdc_03_04_1_other","vdc_03_05_1","vdc_03_04_2","vdc_03_04_2_other","vdc_03_05_2","vdc_03_04_3","vdc_03_04_3_other","vdc_03_05_3","vdc_03_05_n","vdc_03_06_1","vdc_03_06_1_other","vdc_03_07_1","vdc_03_06_2","vdc_03_06_2_other","vdc_03_07_2","vdc_03_06_3","vdc_03_06_3_other","vdc_03_07_3","vdc_03_07_n","vdc_04_note","vdc_04_01","vdc_04_01_other","vdc_04_02","vdc_04_02_cal","vdc_04_03","vdc_04_04","vdc_04_05","vdc_04_06","vdc_04_07","vdc_04_08","vdc_04_09","vdc_04_10","vdc_04_11","vdc_04_11_cal","vdc_04_12","vdc_04_13","vdc_04_13a","vdc_04_13a_other","vdc_04_13b","vdc_04_13b_other","vdc_04_14_1","vdc_04_14_1_other","vdc_04_15_1","vdc_04_14_2","vdc_04_14_2_other","vdc_04_15_2","vdc_04_14_3","vdc_04_14_3_other","vdc_04_15_3","vdc_04_15_n","vdc_04_15_n_1","vdc_04_16","vdc_04_17","vdc_04_18_1","vdc_04_18_1_other","vdc_04_18_2","vdc_04_18_2_other","vdc_04_18_3","vdc_04_18_3_other","vdc_04_18_n_1","vdc_04_18_n_2","vdc_04_18_n_3","vdc_04_18_n_4","vdc_04_18_n_5","vdc_04_18_n_6","vdc_04_18_n_7","vdc_04_19","vdc_04_19_other","vdc_04_20","vdc_04_20_cal","vdc_04_21","vdc_04_22","vdc_04_23","vdc_04_24","vdc_04_n2","vdc_04_25_n","vdc_04_25_1","vdc_04_26_1","vdc_04_27_1","vdc_04_28_1","vdc_04_28_1_other","vdc_04_29_a_1n","vdc_04_29_a_1","vdc_04_29_b_1","vdc_04_29_c_1","vdc_04_29_d_1","vdc_04_29_e_1","vdc_04_30_1","vdc_04_25_n2","vdc_04_25_2","vdc_04_26_2","vdc_04_27_2","vdc_04_28_2","vdc_04_28_2_other","vdc_04_29_a_2n","vdc_04_29_a_2","vdc_04_29_b_2","vdc_04_29_c_2","vdc_04_29_d_2","vdc_04_29_e_2","vdc_04_30_2","vdc_04_25_n3","vdc_04_25_3","vdc_04_26_3","vdc_04_27_3","vdc_04_28_3","vdc_04_28_3_other","vdc_04_29_a_3n","vdc_04_29_a_3","vdc_04_29_b_3","vdc_04_29_c_3","vdc_04_29_d_3","vdc_04_29_e_3","vdc_04_30_3","vdc_04_25_n4","vdc_04_25_4","vdc_04_26_4","vdc_04_27_4","vdc_04_28_4","vdc_04_28_4_other","vdc_04_29_a_4n","vdc_04_29_a_4","vdc_04_29_b_4","vdc_04_29_c_4","vdc_04_29_d_4","vdc_04_29_e_4","vdc_04_30_4","vdc_04_25_5n","vdc_04_25_5","vdc_04_26_5","vdc_04_27_5","vdc_04_28_5","vdc_04_28_5_other","vdc_04_29_a_5n","vdc_04_29_a_5","vdc_04_29_b_5","vdc_04_29_c_5","vdc_04_29_d_5","vdc_04_29_e_5","vdc_04_30_5","vdc_04_25_n6","vdc_04_25_6","vdc_04_26_6","vdc_04_27_6","vdc_04_28_6","vdc_04_28_6_other","vdc_04_29_a_6n","vdc_04_29_a_6","vdc_04_29_b_6","vdc_04_29_c_6","vdc_04_29_d_6","vdc_04_29_e_6","vdc_04_30_6","vdc_04_25_n7","vdc_04_25_7","vdc_04_26_7","vdc_04_27_7","vdc_04_28_7","vdc_04_28_7_other","vdc_04_29_a_7n","vdc_04_29_a_7","vdc_04_29_b_7","vdc_04_29_c_7","vdc_04_29_d_7","vdc_04_29_e_7","vdc_04_30_7","vdc_04_25_n8","vdc_04_25_8","vdc_04_26_8","vdc_04_27_8","vdc_04_28_8","vdc_04_28_8_other","vdc_04_29_a_8n","vdc_04_29_a_8","vdc_04_29_b_8","vdc_04_29_c_8","vdc_04_29_d_8","vdc_04_29_e_8","vdc_04_30_8","vdc_04_25_n9","vdc_04_25_9","vdc_04_26_9","vdc_04_27_9","vdc_04_28_9","vdc_04_28_9_other","vdc_04_29_a_9n","vdc_04_29_a_9","vdc_04_29_b_9","vdc_04_29_c_9","vdc_04_29_d_9","vdc_04_29_e_9","vdc_04_30_9","vdc_04_25_10n","vdc_04_25_10","vdc_04_26_10","vdc_04_27_10","vdc_04_28_10","vdc_04_28_10_other","vdc_04_29_a_10n","vdc_04_29_a_10","vdc_04_29_b_10","vdc_04_29_c_10","vdc_04_29_d_10","vdc_04_29_e_10","vdc_04_30_10","vdc_04_25_n11","vdc_04_25_11","vdc_04_26_11","vdc_04_27_11","vdc_04_28_11","vdc_04_28_11_other","vdc_04_29_a_11n","vdc_04_29_a_11","vdc_04_29_b_11","vdc_04_29_c_11","vdc_04_29_d_11","vdc_04_29_e_11","vdc_04_30_11","vdc_04_31","vdc_04_31_other","vdc_04_32_a_10n","vdc_04_32_a_10","vdc_04_32_b_10","vdc_04_32_c_10","vdc_04_32_d_10","vdc_05_n","vdc_05_01_2","vdc_05_02_2","vdc_05_03_2","vdc_05_04_2","vdc_05_01_3","vdc_05_02_3","vdc_05_03_3","vdc_05_04_3","vdc_05_01_4","vdc_05_02_4","vdc_05_03_4","vdc_05_04_4","vdc_05_01_5","vdc_05_02_5","vdc_05_03_5","vdc_05_04_5","vdc_05_01_6","vdc_05_02_6","vdc_05_03_6","vdc_05_04_6","vdc_05_01_7","vdc_05_02_7","vdc_05_03_7","vdc_05_04_7","vdc_05_01_8","vdc_05_02_8","vdc_05_03_8","vdc_05_04_8","vdc_05_01_96","vdc_05_01_96_other","vdc_05_02_96","vdc_05_03_96","vdc_05_04_96","vdc_05_05_1n","vdc_05_05_1","vdc_05_05_2","vdc_05_05_3","vdc_05_05_4","vdc_05_06","vdc_05_06_other","vdc_05_07","vdc_05_07_other","vdc_05_08","vdc_05_08_other","vdc_05_09","vdc_05_10","vdc_05_10_1","vdc_05_12_n","vdc_05_13_n","vdc_05_14_n","vdc_05_15_n","vdc_06_n","vdc_06_n2","vdc_06_01_1","vdc_06_01_1_other","vdc_06_01_2","vdc_06_01_2_other","vdc_06_01_3","vdc_06_01_3_other","vdc_06_02","vdc_06_03","vdc_06_04","vdc_06_05","vdc_06_06","vdc_06_07","vdc_06_08","vdc_06_09","vdc_06_10","vdc_06_11","vdc_06_12","vdc_06_13","vdc_06_13_other","vdc_06_14","vdc_06_15","vdc_07_n1","vdc_07_n2","vdc_07_1","vdc_07_01_02","vdc_07_01_03","vdc_07_01_04","vdc_07_1a","vdc_07_2","vdc_07_02_02","vdc_07_02_03","vdc_07_02_04","vdc_07_2a","vdc_07_3","vdc_07_03_02","vdc_07_03_03","vdc_07_03_04","vdc_07_3a","vdc_07_4","vdc_07_04_02","vdc_07_04_03","vdc_07_04_04","vdc_07_4a","vdc_07_5","vdc_07_05_02","vdc_07_05_03","vdc_07_05_04","vdc_07_5a","vdc_07_6","vdc_07_06_02","vdc_07_06_03","vdc_07_06_04","vdc_07_6a","vdc_07_7","vdc_07_07_02","vdc_07_07_03","vdc_07_07_04","vdc_07_7a","vdc_07_8","vdc_07_08_02","vdc_07_08_03","vdc_07_08_04","vdc_07_8a","vdc_07_9","vdc_07_09_02","vdc_07_09_03","vdc_07_09_04","vdc_07_9a","vdc_07_10","vdc_07_10_02","vdc_07_10_03","vdc_07_10_04","vdc_07_10a","vdc_07_11","vdc_07_11_02","vdc_07_11_03","vdc_07_11_04","vdc_07_11a","vdc_07_12","vdc_07_12_02","vdc_07_12_03","vdc_07_12_04","vdc_07_12a","vdc_07_13","vdc_07_13_02","vdc_07_13_03","vdc_07_13_04","vdc_07_13a","vdc_07_96","vdc_07_96_other","vdc_07_96_02","vdc_07_96_03","vdc_07_96_04","vdc_07_96a","vdc_08_n1","vdc_08_n2","vdc_08_01","vdc_08_01_other","vdc_08_re_count","vdc_08_re","vdc_08_18_n","vdc_08_19_n","vdc_08_19_other","vdc_08_20_n","vdc_08_21_n","vdc_08_22_n","vdc_08_23_n","vdc_08_24_n","vdc_08_25_n","vdc_08_26_n","vdc_08_26_n_1","vdc_08_27_n","vdc_08_28_n","vdc_08_29_n","vdc_08_29_other","vdc_08_30_n","vdc_10_n1","vdc_10_n2","vdc_10_01","vdc_10_02","vdc_10_03","vdc_10_04","vdc_10_05_a_1","vdc_10_05_a","vdc_10_05_b","vdc_10_05_c","vdc_10_05_d","vdc_10_05_e","vdc_10_06_e_other","vdc_10_06","vdc_11_03","vdc_11_03_other","vdc_11_04","vdc_11_05","vdc_11_06","vdc_11_07","vdc_11_08","vdc_11_09","vdc_11_10","vdc_11_11n","vdc_11_11h","vdc_11_11m","vdc_11_12","vdc_11_13","vdc_11_13h","vdc_11_13m","vdc_11_14","vdc_11_15","vdc_11_15h","vdc_11_15m","vdc_11_16n","vdc_11_16","vdc_11_17","vdc_11_18","vdc_11_19","vdc_11_20","vdc_11_21","vdc_11_22","vdc_11_23","vdc_11_24","vdc_11_25_n_1","vdc_11_25_n","vdc_11_26_n","vdc_11_27_n","vdc_11_28_n","vdc_11_29_n","vdc_11_29_other","vdc_11_30_n","vdc_11_30_other","vdc_11_31_n","vdc_11_32_n","vdc_11_33_n","vdc_11_34_n","vdc_11_35_n_1","vdc_11_35_n","vdc_11_36_n","vdc_11_37_n","vdc_11_38_n","vdc_11_39_n","vdc_11_40_n","vdc_11_41_n","vdc_11_42_n","vdc_11_43_n","vdc_11_44_n","vdc_control_2","vdc_control_2Latitude","vdc_control_2Longitude","vdc_control_2Accuracy","vdc_control_2Altitude","vdc_control_3","vdc_control_3_other","vdc_control_4","vdc_control_5","vdc_control_5_other","save_incomplete","save_exit","instanceID","instanceName","rta_form_id","fullname","family_id","vdc_region","vdc_region_lb","vdc_district_lb","vdc_district_id","vdc_district"
"1","uuid:2a43f173-cece-4c96-a7f0-48068dc9a918","1607251001","2016-07-30 20:25:16","2016-07-30 20:25:16","2016-07-29 17:36:42","2016-07-30 03:35:09","dbacd217d798a645",NA,NA,NA,"29/07/2016 10:36:42",NA,"dbacd217d798a645","ML_VDC_Community_G1_29/07/2016 10:36:42","ML_VDC_Community_G1","enum033","3","2","12","50225","11","SAMBA KALA","-999999","-999999","1","-999999","-999999","1","1","0","1","35",NA,"31",NA,"13",NA,"1","1","0","0","1","4","1",NA,"-999999","-999999","1 4",NA,"1","1","34","34","7",NA,"33","13","-999999","2","2001","15","8","-999999","14","11","1","4","0","2",NA,"-999999","1","0","0","1","0","0","0","1","0","-999999","6","2016","4",NA,"-999999","-999999","2000","1",NA,"100.0000000000","96","None","0.0000000000","96","None","0.0000000000",NA,"2",NA,"95.0000000000","3",NA,"3.0000000000","6",NA,"2.0000000000",NA,"2",NA,"95.0000000000","3",NA,"3.0000000000","6",NA,"2.0000000000",NA,"-999999","1",NA,NA,"0",NA,"10","10","4","1","4","0",NA,"22.0000000000","22","25","-999999","21",NA,"21",NA,"22",NA,"99.0000000000","21",NA,"1.0000000000","96","None","0.0000000000",NA,"98.0000000000","5.0000000000","22","4",NA,"2",NA,"5",NA,"4","200.0000000000","1","1","1","1","0.0000000000","96","No water body","0.0000000000","0","0","2","2","4","-999999","-999999","1",NA,"1999","3",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"2010","3",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"2013","3",NA,"-999999","1","1","1","1","1","1","-999999","0","85.0000000000","2000","1",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"2016","1",NA,"-999999","1","1","1","1","1","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"99","3",NA,"-999999","1","1","1","1","1","0","-999999","0","0.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","22.0000000000","99","2",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"22","1",NA,"-999999","1","1","1","1","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","21",NA,"-999999","0","0","0","0","-999999","1","800","1991","1","1","25","2008","1","0",NA,NA,NA,"1","40","1995","7","0",NA,NA,NA,"1","80","1985","5","1","8","2008","12","0",NA,NA,NA,NA,"-999999","1","1","0","0","3",NA,"5",NA,"2 3 5",NA,"2","1","100","1","0","1","0","-999999","-999999","3",NA,"2",NA,"7",NA,"1","85.0000000000","2","1","15","1","1","80.0000000000","0.0000000000","15.0000000000","5.0000000000","3 5",NA,"3","3","-999999","-999999","0",NA,NA,NA,NA,"1","2","2013","5.0000000000",NA,"1","1","2014","8.0000000000",NA,"1","1","2012","90.0000000000",NA,"0",NA,NA,NA,NA,"1","10","2016","100.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1","2","2013","100.0000000000",NA,"1","10","2015","100.0000000000",NA,"1","6","2013","30.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"-999999","-999999","30 51 52 53 62 63",NA,"6","vdc_08_re","0",NA,NA,NA,NA,NA,NA,"1","1","2",NA,"1","1","4",NA,"5","-999999","-999999","1","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,"1","-999999","21","0","-999999","0","1","1","1","1","1","1","1","0","-999999","0","1","1","1","2",NA,"4",NA,"1","3","3","2","-999999","4","5","3","5","2","5","5","4","4","4","vdc_control_2","13.5275380000","-16.3543560000","0.0000000000","0.0000000000","1",NA,"1","3",NA,"1469795660372_SIE0","1469824507201_SFE0","uuid:2a43f173-cece-4c96-a7f0-48068dc9a918","VDC_G1_50225_SAMBA KALA_enum033_29/07/2016 10:36:42","ML_VDC_Community_G1","enum033","F1","3","SAMBA KALA","SAMBA KALA","11","11"
"2","uuid:34fd2d64-050f-4c10-b894-ac68047416cc","1607251001","2016-07-29 18:51:02","2016-07-29 18:51:02","2016-07-28 15:35:28","2016-07-29 05:55:02","F8_84_F2_B6_F6_A3","607029911097827","8922002030911978270",NA,"28/07/2016 08:35:27",NA,"F8_84_F2_B6_F6_A3","ML_VDC_Community_G1_28/07/2016 08:35:27","ML_VDC_Community_G1","enum025","1","19","123","83212","104","Koina","-999999","-999999","1","-999999","-999999","1","1","1","1","35",NA,"31",NA,"31",NA,"1","1","0","0","1","5","1",NA,"-999999","-999999","1 96","Deputy chairwoman","1","1","52","52","11",NA,NA,NA,NA,"2","2006","10","10","-999999","9","8","2","3","283000","2",NA,"-999999","1","1","1","1","1","1","1","1","1","-999999","5","2006","1 2 3 4 5",NA,"-999999","-999999","15500","1",NA,"100.0000000000","96","None","0.0000000000","96","None","0.0000000000",NA,"6",NA,"95.0000000000","3",NA,"3.0000000000","1",NA,"2.0000000000",NA,"6",NA,"95.0000000000","3",NA,"4.0000000000","1",NA,"1.0000000000",NA,"-999999","2",NA,"0.0000000000","0","1","12","12","12","0","1","1","8","53.0000000000","53","60","-999999","13",NA,"13",NA,"22",NA,"98.0000000000","12",NA,"1.0000000000","13",NA,"1.0000000000",NA,"90.0000000000","80.0000000000","7","96","Use for compose","2",NA,"4",NA,"8","300.0000000000","1","1","1","0","30.0000000000","2",NA,"2.0000000000","2","12","3","3","4","-999999","-999999","1",NA,"1999","1",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"99","1",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"99","1",NA,"-999999","1","1","1","1","1","1","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"2002","96","Community members","-999999","1","1","1","1","1","1","4",NA,"-999999","0","0","0","0","-999999","1","8","9998","5","1","8","9998","5","1","15","2016","12","1","15","2010","12","1","15","2006","12","1","15","1994","12","1","8","2007","12","1","-999999","20","2010","12","-999999","1","1","1","1","3",NA,"5",NA,"2 5 6",NA,"7","0","150","1","1","1","1","-999999","-999999","3",NA,"2",NA,"8",NA,"1","30.0000000000","2","1","300","2","1","90.0000000000","3.0000000000","2.0000000000","5.0000000000","3 6",NA,"3","2","-999999","-999999","1","3","2015","50.0000000000",NA,"1","5","2015","97.0000000000",NA,"1","10","2015","99.0000000000",NA,"1","10","2015","94.0000000000",NA,"0",NA,NA,NA,NA,"1","10","2015","96.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1","2","2016","100.0000000000",NA,"1","10","199","0.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"-999999","-999999","11 12 15 22 30 52 54 63",NA,"8","vdc_08_re","1","96","Own motorbik","98","98","98","98","1","0",NA,NA,NA,NA,NA,NA,NA,"-999999","-999999","1","1","28","0",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","20000","0",NA,NA,"1","20.0000000000","-999999","1","0","1","-999999","1","15","1","-999999","1","30","-999999","1","1","1","1","1","1","1","1","1","-999999","1","1","1","1","4 2 1",NA,"1 2 3 4",NA,"1","2","2","2","-999999","4","3","3","2","1","5","5","5","4","2","vdc_control_2","13.4761222000","-13.8626780000","48.0000000000","199.0701146117","1",NA,"1","2",NA,"1469705765590_SIE0","1469746499099_SFE0","uuid:34fd2d64-050f-4c10-b894-ac68047416cc","VDC_G1_83212_Koina_enum025_28/07/2016 08:35:27","ML_VDC_Community_G1","enum025","F1","1","Koina","Koina","104","104"
"3","uuid:7cb6529b-6ed6-447b-96c0-613aa6c62c40","1607251001","2016-07-28 21:42:52","2016-07-28 21:42:52","2016-07-27 19:51:24","2016-07-28 21:39:36","dbacd217d798a645",NA,NA,NA,"27/07/2016 12:51:24",NA,"dbacd217d798a645","ML_VDC_Community_G1_27/07/2016 12:51:24","ML_VDC_Community_G1","enum033","3","2","11","50218","10","NDUNGU KEBBEH","-999999","-999999","1","-999999","-999999","0","1","0","0","35",NA,"31",NA,"31",NA,"1","1","0","0","1","3","1",NA,"-999999","-999999","96","-999999","2","2","45","45","11",NA,NA,NA,NA,"2","1965","51","20","-999999","5","7","1","3","0","2",NA,"-999999","1","0","1","1","1","0","0","0","0","-999999","4","2013","3",NA,"-999999","-999999","3000","1",NA,"99.0000000000","2",NA,"1.0000000000","96","None","0.0000000000",NA,"2",NA,"80.0000000000","3",NA,"20.0000000000","96","None","0.0000000000",NA,"2",NA,"80.0000000000","3",NA,"19.0000000000","7",NA,"1.0000000000",NA,"-999999","1",NA,NA,"0",NA,"7","8","5","1","3","0",NA,"24.0000000000","24","25","-999999","13",NA,"13",NA,"22",NA,"100.0000000000","96","None","0.0000000000","96","None","0.0000000000",NA,"25.0000000000","30.0000000000","8","2",NA,"4",NA,"5",NA,"4","100.0000000000","0","0","1","1","2.0000000000","1",NA,"0.3000000000","0.3","7","2","3","4","-999999","-999999","1",NA,"9888","1",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"2012","1",NA,"-999999","1","1","1","1","1","1","-999999","0","7.0000000000","99","1",NA,"-999999","1","1","1","1","1","0","-999999","0","25.0000000000","99","1",NA,"-999999","1","1","99","99","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","1","1","1","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"1998","3",NA,"-999999","1","1","1","1","1","1","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"2011","2",NA,"-999999","1","1","1","1","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","1","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","1","1","0","19",NA,"-999999","0","0","0","0","-999999","1","77","2006","12","0",NA,NA,NA,"0",NA,NA,NA,"1","100","9998","1","1","6","2011","5","1","75","9998","1","1","6","2015","1","0",NA,NA,NA,NA,"-999999","1","1","1","1","3",NA,"5",NA,"2 3 5",NA,"2","0","0","1","1","1","0","-999999","-999999","3",NA,"2",NA,"96","None","1","20.0000000000","2","1","10","1","1","75.0000000000","10.0000000000","10.0000000000","5.0000000000","1 3",NA,"3","2","-999999","-999999","1","4","2013","50.0000000000",NA,"1","3","2015","20.0000000000",NA,"1","1","2007","30.0000000000",NA,"1","1","2008","50.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1","1","2013","80.0000000000",NA,"1","1","2013","75.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"-999999","-999999","51 54",NA,"2","vdc_08_re","1","96","Buys fuel for private ambulance.","0","0","0","0","1","1","2",NA,"0","1","4",NA,"10","-999999","-999999","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vdc_control_2","13.5410720000","-16.3133770000","0.0000000000","0.0000000000","1",NA,"1","3",NA,"1469631351686_SIE0","1469716774843_SFE0","uuid:7cb6529b-6ed6-447b-96c0-613aa6c62c40","VDC_G1_50218_NDUNGU KEBBEH_enum033_27/07/2016 12:51:24","ML_VDC_Community_G1","enum033","F1","3","NDUNGU KEBBEH","NDUNGU KEBBEH","10","10"
"4","uuid:c823e9ab-7d04-4b79-8c93-63af8605e8a7","1607251001","2016-07-30 22:09:00","2016-07-30 22:09:00","2016-07-28 16:34:55","2016-07-30 08:44:54","08_21_EF_48_A0_51","607029911097806","8922002030911978064",NA,"28/07/2016 09:34:55",NA,"08_21_EF_48_A0_51","ML_VDC_Community_G1_28/07/2016 09:34:55","ML_VDC_Community_G1","enum007","2","7","44","61110","41","Bati Ndarr","-999999","-999999","1","-999999","-999999","1","1","0","1","35",NA,"11",NA,"13",NA,"0","1","0","0","1","3","1",NA,"-999999","-999999","1",NA,"1","1","69","42","11",NA,NA,NA,NA,"2","2009","7","7","-999999","10","14","1","1","10000","2",NA,"-999999","1","1","0","0","0","0","0","1","0","-999999","6","2016","3",NA,"-999999","-999999","3000","1",NA,"100.0000000000","96","None","0.0000000000","96","None","0.0000000000",NA,"2",NA,"99.9000000000","3",NA,"0.1000000000","96","None","0.0000000000",NA,"2",NA,"99.9000000000","3",NA,"0.1000000000","96","None","0.0000000000",NA,"-999999","3",NA,"5.0000000000","5","1","12","12","6","1","3","0",NA,"55.0000000000","55","120","-999999","21",NA,"21",NA,"23",NA,"70.0000000000","22",NA,"27.0000000000","12",NA,"3.0000000000",NA,"70.0000000000","0.0000000000","0","4",NA,"96","Throw in the farms or bush","5",NA,"3","150.0000000000","0","0","0","0","98.0000000000","2",NA,"1.5000000000","1.5","12","2","2","4","-999999","-999999","1",NA,"1981","3",NA,"-999999","1","1","1","1","1","1","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"1996","1",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","0","99.0000000000","99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"99","99",NA,"-999999","99","99","99","99","99","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","-999999","1",NA,"99","1",NA,"-999999","1","1","1","99","1","0","11",NA,"-999999","0","0","0","0","-999999","1","300","1981","12","1","300","1981","12","1","8","2010","12","1","8","2011","0","1","8","2012","12","1","120","2015","0","1","8","2010","12","0",NA,NA,NA,NA,"-999999","0","1","0","0","2",NA,"2",NA,"4 5 6",NA,"2","1","3","1","1","0","0","-999999","-999999","3",NA,"2",NA,"4",NA,"1","70.0000000000","2","1","30","3","1","95.0000000000","35.0000000000","30.0000000000","20.0000000000","3",NA,"3","1","-999999","-999999","0",NA,NA,NA,NA,"1","1","2013","20.0000000000",NA,"1","3","2015","30.0000000000",NA,"1","10","2015","30.0000000000",NA,"0",NA,NA,NA,NA,"1","9","2007","100.0000000000",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"-999999","-999999","51 52 96","Distribution of rice seedling to the community","3","vdc_08_re","0",NA,NA,NA,NA,NA,NA,"1","1","2",NA,"1","1","4",NA,"2","-999999","-999999","1","1","5","0",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"0",NA,"0",NA,NA,"1","70.0000000000","-999999","2","30","1","-999999","3","20","1","-999999","2","30","-999999","1","1","1","1","1","1","1","1","0","-999999","1","1","0","1","96","Everything","2",NA,"1","3","3","3","-999999","5","5","5","5","2","5","5","5","5","4","vdc_control_2","13.7059390598","-15.2020335965","10.0000000000","34.5313787973","1",NA,"1","3",NA,"1469713293760_SIE0","1469843090651_SFE0","uuid:c823e9ab-7d04-4b79-8c93-63af8605e8a7","VDC_G1_61110_Bati Ndarr_enum007_28/07/2016 09:34:55","ML_VDC_Community_G1","enum007","F1","2","Bati Ndarr","Bati Ndarr","41","41"
